"plot","transect","microsite","canopy","point","species","length","width","height","number"
"CP3-014",3,"interspace",0,20,"HECO26",1,1,6,1
"CP3-014",3,"interspace",0,20,"BRTE",NA,NA,5,1
"CP3-014",3,"interspace",0,20,"HECO26",3,3,15,1
"CP3-014",3,"interspace",0,20,"LAOC3",NA,NA,2,1
"CP3-014",3,"interspace",0,20,"HECO26",1,1,8,1
"CP3-014",3,"interspace",0,20,"BRTE",NA,NA,5,1
"CP3-014",3,"interspace",0,20,"BRTE",NA,NA,5,1
"CP3-014",3,"interspace",0,20,"BRTE",NA,NA,5,1
"CP3-014",3,"canopy",0.5,25,"BRTE",NA,NA,9,1
"CP3-014",3,"canopy",0,25,"HECO26",2,2,6,1
"CP3-014",3,"interspace",0,25,"HECO26",1,1,4,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"canopy",1,5,"HECO26",1,1,60,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"interspace",0,5,"HECO26",1,1,45,1
"CP3-2023-01",1,"interspace",0,5,"GARA2",NA,NA,3,1
"CP3-2023-01",1,"interspace",1,5,"HECO26",1,1,10,1
"CP3-2023-01",1,"interspace",1,5,"BRTE",NA,NA,6,1
"CP3-2023-01",1,"interspace",1,5,"BRTE",NA,NA,16,1
"CP3-2023-01",1,"interspace",0,5,"GARA2",NA,NA,10,1
"CP3-2023-01",1,"interspace",0,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"interspace",1,5,"BRTE",NA,NA,9,1
"CP3-2023-01",1,"interspace",0,5,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,9,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,5,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,9,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,9,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,5,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,5,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"canopy",1,10,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"interspace",0,10,"ACHY",2,3,25,1
"CP3-2023-01",1,"interspace",0,10,"ACHY",3,1,23,1
"CP3-2023-01",1,"interspace",0,10,"ACHY",2,2,30,1
"CP3-2023-01",1,"interspace",0,10,"ACHY",1,1,25,1
"CP3-2023-01",1,"interspace",0,10,"PEHU",15,8,18,1
"CP3-2023-01",1,"canopy",0,15,"PEHU",8,6,18,1
"CP3-2023-01",1,"canopy",0,15,"ACHY",1,1,11,1
"CP3-2023-01",1,"interspace",1,15,"ELEL5",2,2,30,1
"CP3-2023-01",1,"interspace",1,15,"GIIN2",NA,NA,8,1
"CP3-2023-01",1,"interspace",0,15,"GARA2",NA,NA,12,1
"CP3-2023-01",1,"interspace",1,15,"GARA2",NA,NA,8,1
"CP3-2023-01",1,"interspace",1,15,"BRTE",NA,NA,11,1
"CP3-2023-01",1,"interspace",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"interspace",1,15,"BRTE",NA,NA,11,1
"CP3-2023-01",1,"interspace",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"interspace",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,20,"BRTE",NA,NA,10,1
"CP3-2023-01",1,"canopy",1,20,"BRTE",NA,NA,12,1
"CP3-2023-01",1,"canopy",1,20,"HECO26",2,2,60,1
"CP3-2023-01",1,"canopy",1,20,"GIIN2",NA,NA,4,1
"CP3-2023-01",1,"interspace",0,20,"ELEL5",1,1,17,1
"CP3-2023-01",1,"interspace",0,20,"HECO26",3,3,60,1
"CP3-2023-01",1,"interspace",0,20,"ELEL5",2,1,28,1
"CP3-2023-01",1,"interspace",0,20,"ELEL5",1,1,12,1
"CP3-2023-01",1,"interspace",0,20,"ELEL5",1,1,6,1
"CP3-2023-01",1,"interspace",0,20,"ELEL5",1,1,6,1
"CP3-2023-01",1,"canopy",1,25,"ELEL5",1,1,31,1
"CP3-2023-01",1,"canopy",1,25,"GIIN2",NA,NA,7,1
"CP3-2023-01",1,"canopy",1,25,"ELEL5",2,1,25,1
"CP3-2023-01",1,"canopy",1,25,"BRTE",NA,NA,16,1
"CP3-2023-01",1,"canopy",1,25,"ELEL5",2,1,25,1
"CP3-2023-01",1,"canopy",1,25,"BRTE",NA,NA,16,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,10,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,15,1
"CP3-2023-01",1,"interspace",1,25,"GIIN2",NA,NA,13,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,12,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,13,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,10,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,12,1
"CP3-2023-01",1,"interspace",1,25,"BRTE",NA,NA,12,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",2,"canopy",1,5,"GIIN2",NA,NA,6,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,12,1
"CP3-2023-01",2,"canopy",1,5,"GIIN2",NA,NA,9,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"canopy",0,5,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",1,5,"ELEL5",3,3,50,1
"CP3-2023-01",2,"canopy",1,5,"ELEL5",1,1,40,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,13,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,12,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"canopy",0,5,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",0,5,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",0,5,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",0,5,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",1,5,"BRTE",NA,NA,13,1
"CP3-2023-01",2,"interspace",1,5,"PHLO2",5,4,14,1
"CP3-2023-01",2,"canopy",1,10,"GARA2",NA,NA,4,1
"CP3-2023-01",2,"interspace",0,10,"NO PLANTS",NA,NA,NA,NA
"CP3-2023-01",2,"canopy",1,15,"LOFO",14,27,27,1
"CP3-2023-01",2,"canopy",1,15,"BRTE",NA,NA,9,1
"CP3-2023-01",2,"canopy",1,15,"BRTE",NA,NA,9,1
"CP3-2023-01",2,"interspace",0,15,"NO PLANTS",NA,NA,NA,NA
"CP3-2023-01",2,"canopy",1,20,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"canopy",1,20,"BRTE",NA,NA,5,1
"CP3-2023-01",2,"canopy",1,20,"BRTE",NA,NA,8,1
"CP3-2023-01",2,"canopy",0,20,"BRTE",NA,NA,22,1
"CP3-2023-01",2,"canopy",0,20,"BRTE",NA,NA,22,1
"CP3-2023-01",2,"interspace",0,20,"HECO26",1,1,15,1
"CP3-2023-01",2,"interspace",0,20,"BRTE",NA,NA,12,1
"CP3-2023-01",2,"interspace",0,20,"BRTE",NA,NA,9,1
"CP3-2023-01",2,"interspace",0,20,"BRTE",NA,NA,17,1
"CP3-2023-01",2,"canopy",1,25,"BRTE",NA,NA,23,1
"CP3-2023-01",2,"canopy",1,25,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"canopy",1,25,"BRTE",NA,NA,15,1
"CP3-2023-01",2,"interspace",0.5,25,"BRTE",NA,NA,10,1
"CP3-2023-01",2,"interspace",0.5,25,"BRTE",NA,NA,23,1
"CP3-2023-01",2,"interspace",0.5,25,"BRTE",NA,NA,8,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,13,1
"CP3-2023-01",3,"canopy",1,5,"PHLO2",9,6,20,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,30,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,10,1
"CP3-2023-01",3,"canopy",1,5,"GIIN2",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,18,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,5,"BRTE",NA,NA,10,1
"CP3-2023-01",3,"interspace",0,5,"GIIN2",NA,NA,11,1
"CP3-2023-01",3,"interspace",0,5,"GIIN2",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,5,"HECO26",1,1,11,1
"CP3-2023-01",3,"interspace",0,5,"PHLO2",4,4,8,1
"CP3-2023-01",3,"interspace",0,5,"GIIN2",NA,NA,4,1
"CP3-2023-01",3,"canopy",1,10,"HECO26",1,1,5,1
"CP3-2023-01",3,"canopy",1,10,"HECO26",2,1,22,1
"CP3-2023-01",3,"interspace",1,10,"GARA2",NA,NA,5,1
"CP3-2023-01",3,"interspace",0,10,"HECO26",1,1,15,1
"CP3-2023-01",3,"interspace",0,10,"HECO26",1,1,11,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,23,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,17,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,12,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,17,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,7,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,12,1
"CP3-2023-01",3,"canopy",1,15,"BRTE",NA,NA,12,1
"CP3-2023-01",3,"interspace",0,15,"NO PLANTS",NA,NA,NA,NA
"CP3-2023-01",3,"canopy",1,20,"BRTE",NA,NA,11,1
"CP3-2023-01",3,"canopy",1,20,"BRTE",NA,NA,21,1
"CP3-2023-01",3,"canopy",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,20,"BRTE",NA,NA,21,1
"CP3-2023-01",3,"interspace",1,20,"HECO26",2,2,40,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,35,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"interspace",1,20,"BRTE",NA,NA,15,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,23,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,20,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,20,1
"CP3-2023-01",3,"canopy",1,25,"HECO26",1,1,60,1
"CP3-2023-01",3,"canopy",1,25,"HECO26",1,1,35,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,17,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,10,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,23,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,23,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,23,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,20,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,20,1
"CP3-2023-01",3,"canopy",1,25,"HECO26",1,1,35,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,17,1
"CP3-2023-01",3,"canopy",1,25,"BRTE",NA,NA,10,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,22,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,14,1
"CP3-2023-01",3,"interspace",0,25,"BRTE",NA,NA,22,1
"CP3-998",1,"canopy",1,5,"NO PLANTS",NA,NA,NA,NA
"CP3-998",1,"interspace",0,5,"CHPA28",NA,NA,1,1
"CP3-998",1,"interspace",0,5,"DEPI",NA,NA,2,1
"CP3-998",1,"canopy",1,10,"DEPI",NA,NA,4,1
"CP3-998",1,"canopy",0,10,"GUSA2",1,1,3,1
"CP3-998",1,"canopy",1,10,"AF024",NA,NA,25,1
"CP3-998",1,"canopy",1,10,"GUSA2",1,1,2,1
"CP3-998",1,"canopy",1,10,"DEPI",NA,NA,7,1
"CP3-998",1,"canopy",0,10,"ASLE8",6,2,3,1
"CP3-998",1,"canopy",0,10,"GUSA2",1,2,4,1
"CP3-998",1,"canopy",1,10,"AF024",NA,NA,25,1
"CP3-998",1,"canopy",1,10,"GUSA2",1,1,2,1
"CP3-998",1,"interspace",0,10,"NO PLANTS",NA,NA,NA,NA
"CP3-998",1,"canopy",1,15,"DEPI",NA,NA,1,1
"CP3-998",1,"interspace",0,15,"NO PLANTS",NA,NA,NA,NA
"CP3-998",1,"canopy",1,20,"NO PLANTS",NA,NA,NA,NA
"CP3-998",1,"interspace",0,20,"NO PLANTS",NA,NA,NA,NA
"CP3-998",1,"canopy",1,25,"GUSA2",1,1,5,1
"CP3-998",1,"canopy",1,25,"GUSA2",1,1,2,1
"CP3-998",1,"canopy",1,25,"DEPI",NA,NA,3,1
"CP3-998",1,"canopy",1,25,"SPCO",4,3,4,1
"CP3-998",1,"canopy",1,25,"GUSA2",1,1,3,1
"CP3-998",1,"canopy",1,25,"DEPI",NA,NA,5,1
"CP3-998",1,"canopy",1,25,"DEPI",NA,NA,3,1
"CP3-998",1,"canopy",1,25,"DEPI",NA,NA,3,1
"CP3-998",1,"canopy",1,25,"GUSA2",1,1,3,1
"CP3-998",1,"interspace",0,25,"GUSA2",1,1,3,1
"CP3-998",1,"interspace",0,25,"GUSA2",1,1,3,1
"CP3-998",1,"interspace",0,25,"GUSA2",3,3,4,1
"CP3-998",1,"interspace",0,25,"GUSA2",1,1,4,1
"CP3-998",2,"canopy",1,5,"NO PLANTS",NA,NA,NA,NA
"CP3-998",2,"interspace",0,5,"DEPI",NA,NA,2,1
"CP3-998",2,"interspace",0,5,"GUSA2",2,1,6,1
"CP3-998",2,"interspace",0,5,"CHPA28",NA,NA,3,1
"CP3-998",2,"canopy",1,10,"GUSA2",1,1,3,1
"CP3-998",2,"interspace",0,10,"GUSA2",1,1,6,1
"CP3-998",2,"interspace",0,10,"AF024",NA,NA,7,1
"CP3-998",2,"canopy",1,15,"NO PLANTS",NA,NA,NA,NA
"CP3-998",2,"interspace",0,15,"SPCO",6,5,7,1
"CP3-998",2,"canopy",1,20,"GUSA2",1,1,3,1
"CP3-998",2,"canopy",1,20,"GUSA2",1,1,1,1
"CP3-998",2,"interspace",0,20,"DEPI",NA,NA,2,1
"CP3-998",2,"canopy",0.5,25,"SPCR",3,2,5,1
"CP3-998",2,"canopy",0,25,"ARDR4",1,1,2,1
"CP3-998",2,"interspace",0,25,"ARDR4",10,8,14,1
"CP3-998",3,"canopy",1,5,"AF024",NA,NA,30,1
"CP3-998",3,"canopy",0.5,5,"DEPI",NA,NA,20,1
"CP3-998",3,"interspace",0,5,"NO PLANTS",NA,NA,NA,NA
"CP3-998",3,"canopy",0,10,"DEPI",NA,NA,2,1
"CP3-998",3,"canopy",1,10,"LAOC3",NA,NA,3,1
"CP3-998",3,"canopy",0,10,"CHPA28",NA,NA,3,1
"CP3-998",3,"canopy",0,10,"CHPA28",NA,NA,3,1
"CP3-998",3,"interspace",0,10,"GUSA2",2,2,3,1
"CP3-998",3,"interspace",0,10,"CHPA28",NA,NA,3,1
"CP3-998",3,"interspace",0,10,"DEPI",NA,NA,6,1
"CP3-998",3,"interspace",0,10,"MUSQ3",NA,NA,3,1
"CP3-998",3,"interspace",0,10,"CHPA28",NA,NA,3,1
"CP3-998",3,"interspace",0,10,"CHPA28",NA,NA,3,1
"CP3-998",3,"canopy",1,15,"DEPI",NA,NA,6,1
"CP3-998",3,"interspace",0,15,"CHPA28",NA,NA,3,1
"CP3-998",3,"interspace",0,15,"ARDR4",1,1,2,1
"CP3-998",3,"interspace",0,15,"DEPI",NA,NA,8,1
"CP3-998",3,"canopy",1,20,"DEPI",NA,NA,2,1
"CP3-998",3,"canopy",1,20,"DEPI",NA,NA,2,1
